Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Teeradon Tortrakul,M,U,THA,0.0,1.0,0.0,2016.0,2016.0,,
Nattan Benjasupawan,M,U,THA,0.0,4.0,0.0,2016.0,2016.0,,
Syed Mohd Agil Syed Naguib,M,R,MAS,0.0,1.0,0.0,2016.0,2016.0,,
Jose Chamba Gomez,M,L,ECU,0.0,1.0,0.0,2016.0,2016.0,,
Daniel Guccione,M,R,AUS,0.0,1.0,0.0,2017.0,2017.0,,
Li Tu,M,R,AUS,0.0,2.0,0.0,2021.0,2021.0,,
Wayne Montgomery,M,R,RSA,0.0,1.0,0.0,2017.0,2017.0,,
Yannick Thivant,M,U,FRA,0.0,4.0,0.0,2017.0,2017.0,,
Luca Corinteli,M,R,USA,0.0,1.0,0.0,2016.0,2016.0,,
Ku Keon Kang,M,R,KOR,0.0,2.0,0.0,2016.0,2016.0,,
Maksim Tikhomirov,M,U,USA,0.0,1.0,0.0,2019.0,2019.0,,
Jeremy Efferding,M,U,USA,0.0,1.0,0.0,2016.0,2016.0,,
Edward Nguyen,M,R,CAN,0.0,3.0,0.0,2017.0,2016.0,,
Roy Lederman,M,U,USA,0.0,1.0,0.0,2016.0,2016.0,,
Janis Podzus,M,L,LAT,0.0,1.0,0.0,2016.0,2016.0,,
Eduardo Russi,M,R,BRA,0.0,7.0,0.0,2016.0,2017.0,,
Simeon Rossier,M,L,SUI,0.0,1.0,0.0,2016.0,2016.0,,
Rong Ma,M,U,CHN,0.0,1.0,0.0,2016.0,2016.0,,
Paul Woerner,M,R,GER,0.0,1.0,0.0,2016.0,2016.0,,
Fernando Cabrera,M,R,MEX,0.0,1.0,0.0,2016.0,2016.0,,
Luca Serena,M,R,ITA,0.0,1.0,0.0,2016.0,2016.0,,
Yoav Schab,M,R,ISR,0.0,1.0,0.0,2019.0,2019.0,,
