Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Katie Rickett,F,U,Undefined,0.0,,
Jill Smoller,F,U,Undefined,0.0,,
Radomira Zrubakova,F,U,Undefined,0.0,,
Elizabeth Galphin,F,U,Undefined,0.0,,
Maider Laval,F,U,Undefined,0.0,,
Pam Casale,F,R,USA,0.0,7.0,0.2857142857142857
Melissa Brown,F,U,Undefined,0.0,,
Jo Anne Faull,F,U,Undefined,0.0,,
Stephanie Faulkner,F,U,Undefined,0.0,,
Cynthia Macgregor,F,U,Undefined,0.0,,
Akemi Nishiya,F,U,Undefined,0.0,,
Jana Novotna,F,U,Undefined,0.0,,
Amy Schwartz,F,U,Undefined,0.0,,
Sherri Norris,F,U,Undefined,0.0,,
Clare Wood,F,U,Undefined,0.0,,
Jill Hetherington,F,U,Undefined,0.0,,
Celine Cohen,F,U,Undefined,0.0,,
Ei Iida,F,U,Undefined,0.0,,
Stephanie Savides,F,U,Undefined,0.0,,
Sandra Wasserman,F,U,Undefined,0.0,,
Patty Fendick,F,U,Undefined,0.0,,
Penny Barg,F,U,Undefined,0.0,,
Emmanuelle Derly,F,U,Undefined,0.0,,
Teresa Edgar,F,U,Undefined,0.0,,
Maria Lindstrom,F,U,Undefined,0.0,,
Carin Bakkum,F,U,Undefined,0.0,,
Brenda Schultz Mccarthy,F,U,Undefined,0.0,,
Valda Lake,F,U,Undefined,0.0,,
Wendy Wood,F,U,Undefined,0.0,,
Katrina Adams,F,U,Undefined,0.0,,
Leigh Anne Eldredge,F,U,Undefined,0.0,,
Kristine Kunce,F,U,Undefined,0.0,,
Rene Simpson,F,U,Undefined,0.0,,
Cathy Caverzasio,F,U,Undefined,0.0,,
Martina Pawlik,F,U,Undefined,0.0,,
Jane Taylor,F,U,Undefined,0.0,,
